"name","url","id"
"

ARD, ZDF ... so GEZ nicht weiter! ZahlungsZWANG STOP! RundfunkREFORM JETZT! (Niedersachsen)","https://www.openpetition.de/petition/online/ard-zdf-so-gez-nicht-weiter-niedersachsen",39
"

NABK CELLE - Nein zur Schließung","https://www.openpetition.de/petition/online/nabk-celle-nein-zur-schliessung",40
"

Rostock: Die Schleuse am Mühlendamm darf nicht zugeschüttet werden!","https://www.openpetition.de/petition/online/rostock-die-schleuse-am-muehlendamm-darf-nicht-zugeschuettet-werden",41
"

Das Verbot Von Tieren Im Zirkus Ist Lange Überfällig ! Handeln Sie Jetzt !","https://www.openpetition.de/petition/online/das-verbot-von-tieren-im-zirkus-ist-lange-ueberfaellig-handeln-sie-jetzt",42
"

Arbeitsgenehmigung für Oumar Ba und Modou Cisse aus Diedorf","https://www.openpetition.de/petition/online/arbeitsgenehmigung-fuer-oumar-ba-und-modou-cisse-aus-diedorf",43
"

Gegen das Einschläfern von Rottweiler Pascha aus Duisburg: ""Bitte lasst mich nicht sterben!""","https://www.openpetition.de/petition/online/gegen-das-einschlaefern-von-rottweiler-pascha-aus-duisburg",44
"

Spesensätze für das Fahrpersonal erhöhen","https://www.openpetition.de/petition/online/spesensaetze-fuer-das-fahrpersonal-erhoehen",45
"

U-Bahn nach Freiham!","https://www.openpetition.de/petition/online/u-bahn-nach-freiham",46
"

HAUS DER STADTKULTUR: Stadtmuseum ins Alte Gericht! Keine Umnutzung für „hochwertiges Wohnen“","https://www.openpetition.de/petition/online/haus-der-stadtkultur-stadtmuseum-ins-alte-gericht-keine-umnutzung-fuer-hochwertiges-wohnen",47
"

Kein Mäusegift in der Landwirtschaft","https://www.openpetition.de/petition/online/kein-maeusegift-in-der-landwirtschaft",48
"

Abschaffung der Hunde-Rasseliste in Nordrhein-Westfalen","https://www.openpetition.de/petition/online/abschaffung-der-hunde-rasseliste-in-nordrhein-westfalen",49
"

Wir fordern dringend den Erhalt von Schloss Reinhardsbrunn!","https://www.openpetition.de/petition/online/wir-fordern-dringend-den-erhalt-von-schloss-reinhardsbrunn",50
"

Bürgerinitiative „Keine Mülldeponie im Steinbruch“ Mainz","https://www.openpetition.de/petition/online/buergerinitiative-keine-muelldeponie-im-steinbruch-mainz",51
"

Gemeinsame Erklärung gegen die Nennung der VVN/BdA im Bayerischen Verfassungsschutzbericht","https://www.openpetition.de/petition/online/gemeinsame-erklaerung-gegen-die-nennung-der-vvn-bda-im-bayerischen-verfassungsschutzbericht",52
"

AUFWERTEN – JETZT (erst recht)!  ALLER Beschäftigten im SuE - SozialpädagogInnen NICHT vergessen!","https://www.openpetition.de/petition/online/sozialearbeiterinnen-duerfen-nicht-die-verlierer-der-tvoed-sue-verhandlungen-sein",53
"

Abschaffung des Ponykarussells auf der Neuwieder Pfingstkirmes","https://www.openpetition.de/petition/online/abschaffung-des-ponykarussell-auf-der-neuwieder-pfingstkirmes",54
"

Steuerfreibetrag bei Ausübung eines Ehrenamts und Rentenpunkt für langjährig ehrenamtlich Tätige","https://www.openpetition.de/petition/online/steuerfreibetrag-bei-ausuebung-eines-ehrenamts-und-rentenpunkt-fuer-langjaehrig-ehrenamtlich-taetige",55
"

Faire Zukunftschancen für alle - Zugang zu Schule auch für neu zugewanderte Migranten Ü18","https://www.openpetition.de/petition/online/faire-zukunftschancen-fuer-alle-zugang-zu-schule-auch-fuer-neu-zugewanderte-migranten-ue18",56
"

Teilhabegesetz JETZT!!!-2","https://www.openpetition.de/petition/online/teilhabegesetz-jetzt-2",57
"

Deutsche Gesellschaft für Ernährung & vegane Kinderernährung - veraltet, einseitig, unprofessionell!","https://www.openpetition.de/petition/online/deutsche-gesellschaft-fur-ernahrung-vegane-kinderernahrung-veraltet-einseitig-unprofessionell",58
"

Bundeskanzlerin Merkel, setzen Sie sich für die sofortige Schließung des AKW Cattenom ein","https://www.openpetition.de/petition/online/bundeskanzlerin-merkel-setzen-sie-sich-fuer-die-sofortige-schliessung-des-akw-cattenom-ein",59
"

Staatliche Anerkennung des Bachelor of Social Work der Hogeschool van Arnhem en Nijmegen","https://www.openpetition.de/petition/online/staatliche-anerkennung-des-bachelor-of-social-work-der-hogeschool-van-arnhem-en-nijmegen",60
"

Erhalt der Japanologie an der Martin-Luther-Universität Halle-Wittenberg","https://www.openpetition.de/petition/online/erhalt-der-japanologie-an-der-martin-luther-universitaet-halle-wittenberg",61
"

Die traditionsreiche Architekturschule muss im Münchner Kunstareal bleiben!","https://www.openpetition.de/petition/online/die-traditionsreiche-architekturschule-muss-im-muenchner-kunstareal-bleiben",62
"

Der Deutsche Bundestag soll ein Mindesthonorar für selbstständige LehrerInnen einführen","https://www.openpetition.de/petition/online/der-deutsche-bundestag-soll-ein-mindesthonorar-fuer-selbststaendige-lehrerinnen-einfuehren",63
"

Wir fordern die Volksabstimmung","https://www.openpetition.de/petition/online/wir-fordern-die-volksabstimmung",64
"

Rettet die Musikakademie Kürnbach","https://www.openpetition.de/petition/online/rettet-die-musikakademie-kuernbach",65
"

Stadt Frankfurt: Vermieten Sie keine städtischen Flächen an Zirkusbetriebe, die Wildtiere mitführen!","https://www.openpetition.de/petition/online/stadt-frankfurt-vermieten-sie-keine-staedtischen-flaechen-an-zirkusbetriebe-die-wildtiere-mitfuehren",66
"

Recht auf Wohnung - Schluss mit HARTZ IV: Armut und Obdachlosigkeit.","https://www.openpetition.de/petition/online/recht-auf-wohnung-obdachlosigkeit-in-deutschland-beenden",67
"

Bestandsschutz und Baurecht für den SPREEWALD-NATUR-CAMPING ""Am Schlosspark"" in Lübbenau/Spreewald","https://www.openpetition.de/petition/online/bestandsschutz-und-baurecht-fuer-den-spreewald-natur-camping-am-schlosspark-in-luebbenau-spreewald",68
"

Erhalt der Veranstaltungen auf dem Flugplatz Allstedt und Ausbau des Geländes","https://www.openpetition.de/petition/online/erhalt-der-veranstaltungen-auf-dem-flugplatz-allstedt-und-ausbau-des-gelandes",69
"

Schaffung des Berufsbildes Dentalhygieniker/in als geschützte Berufsbezeichnung in D und der EU","https://www.openpetition.de/petition/online/schaffung-des-berufsbildes-dentalhygieniker-in-als-geschutzte-berufsbezeichnung-in-d-und-der-eu",70
