"name","url"
"München Viehhof, Erhalt und Koexistenz: Gewerbe und Kino-Open-Air-Kultur-Festival müssen bleiben!","https://www.openpetition.de/petition/online/muenchen-viehhof-erhalt-und-koexistenz-gewerbe-und-kino-open-air-kultur-festival-muessen-bleiben"
"Pro Konstanzer Flugplatz","https://www.openpetition.de/petition/online/pro-konstanzer-flugplatz"
"Keine Zwangsexmatrikulationen – für ein kritisches und angeregtes Studium!","https://www.openpetition.de/petition/online/keine-zwangsexmatrikulationen-fur-ein-kritisches-und-angeregtes-studium"
"Rostock: Die Schleuse am Mühlendamm darf nicht zugeschüttet werden!","https://www.openpetition.de/petition/online/rostock-die-schleuse-am-muehlendamm-darf-nicht-zugeschuettet-werden"
"Das Verbot Von Tieren Im Zirkus Ist Lange Überfällig ! Handeln Sie Jetzt !","https://www.openpetition.de/petition/online/das-verbot-von-tieren-im-zirkus-ist-lange-ueberfaellig-handeln-sie-jetzt"
"Gegen das Einschläfern von Rottweiler Pascha aus Duisburg: ""Bitte lasst mich nicht sterben!""","https://www.openpetition.de/petition/online/gegen-das-einschlaefern-von-rottweiler-pascha-aus-duisburg"
"Das Tierheim auf Santorini in akuter Gefahr","https://www.openpetition.de/petition/online/das-tierheim-auf-santorini-in-akuter-gefahr"
"Spesensätze für das Fahrpersonal erhöhen","https://www.openpetition.de/petition/online/spesensaetze-fuer-das-fahrpersonal-erhoehen"
"Gegen Zulassungsbeschränkungen vor dem Referendariat","https://www.openpetition.de/petition/online/gegen-zulassungsbeschraenkungen-vor-dem-referendariat"
"HAUS DER STADTKULTUR: Stadtmuseum ins Alte Gericht! Keine Umnutzung für „hochwertiges Wohnen“","https://www.openpetition.de/petition/online/haus-der-stadtkultur-stadtmuseum-ins-alte-gericht-keine-umnutzung-fuer-hochwertiges-wohnen"
"Kein Mäusegift in der Landwirtschaft","https://www.openpetition.de/petition/online/kein-maeusegift-in-der-landwirtschaft"
"Keine Autobahn durch die Lechauen","https://www.openpetition.de/petition/online/keine-autobahn-durch-die-lechauen"
"Abschaffung der Hunde-Rasseliste in Nordrhein-Westfalen","https://www.openpetition.de/petition/online/abschaffung-der-hunde-rasseliste-in-nordrhein-westfalen"
"Bürgerinitiative „Keine Mülldeponie im Steinbruch“ Mainz","https://www.openpetition.de/petition/online/buergerinitiative-keine-muelldeponie-im-steinbruch-mainz"
"Gemeinsame Erklärung gegen die Nennung der VVN/BdA im Bayerischen Verfassungsschutzbericht","https://www.openpetition.de/petition/online/gemeinsame-erklaerung-gegen-die-nennung-der-vvn-bda-im-bayerischen-verfassungsschutzbericht"
"Steuerfreibetrag bei Ausübung eines Ehrenamts und Rentenpunkt für langjährig ehrenamtlich Tätige","https://www.openpetition.de/petition/online/steuerfreibetrag-bei-ausuebung-eines-ehrenamts-und-rentenpunkt-fuer-langjaehrig-ehrenamtlich-taetige"
"Faire Zukunftschancen für alle - Zugang zu Schule auch für neu zugewanderte Migranten Ü18","https://www.openpetition.de/petition/online/faire-zukunftschancen-fuer-alle-zugang-zu-schule-auch-fuer-neu-zugewanderte-migranten-ue18"
"Teilhabegesetz JETZT!!!-2","https://www.openpetition.de/petition/online/teilhabegesetz-jetzt-2"
"Bundeskanzlerin Merkel, setzen Sie sich für die sofortige Schließung des AKW Cattenom ein","https://www.openpetition.de/petition/online/bundeskanzlerin-merkel-setzen-sie-sich-fuer-die-sofortige-schliessung-des-akw-cattenom-ein"
"Staatliche Anerkennung des Bachelor of Social Work der Hogeschool van Arnhem en Nijmegen","https://www.openpetition.de/petition/online/staatliche-anerkennung-des-bachelor-of-social-work-der-hogeschool-van-arnhem-en-nijmegen"
"Der Deutsche Bundestag soll ein Mindesthonorar für selbstständige LehrerInnen einführen","https://www.openpetition.de/petition/online/der-deutsche-bundestag-soll-ein-mindesthonorar-fuer-selbststaendige-lehrerinnen-einfuehren"
"Die traditionsreiche Architekturschule muss im Münchner Kunstareal bleiben!","https://www.openpetition.de/petition/online/die-traditionsreiche-architekturschule-muss-im-muenchner-kunstareal-bleiben"
"Wir fordern die Volksabstimmung","https://www.openpetition.de/petition/online/wir-fordern-die-volksabstimmung"
"Rettet die Musikakademie Kürnbach","https://www.openpetition.de/petition/online/rettet-die-musikakademie-kuernbach"
"Stadt Frankfurt: Vermieten Sie keine städtischen Flächen an Zirkusbetriebe, die Wildtiere mitführen!","https://www.openpetition.de/petition/online/stadt-frankfurt-vermieten-sie-keine-staedtischen-flaechen-an-zirkusbetriebe-die-wildtiere-mitfuehren"
"Bestandsschutz und Baurecht für den SPREEWALD-NATUR-CAMPING ""Am Schlosspark"" in Lübbenau/Spreewald","https://www.openpetition.de/petition/online/bestandsschutz-und-baurecht-fuer-den-spreewald-natur-camping-am-schlosspark-in-luebbenau-spreewald"
"Sofortige Schließung der Schliefanlage in Südlohn-Oeding. Keine Ausnahmegenehmigung für Tierquälerei","https://www.openpetition.de/petition/online/sofortige-schliessung-der-schliefanlage-in-suedlohn-oeding-keine-ausnahmegenehmigung-fuer-tierquaele"
"Recht auf Wohnung - Schluss mit HARTZ IV: Armut und Obdachlosigkeit.","https://www.openpetition.de/petition/online/recht-auf-wohnung-obdachlosigkeit-in-deutschland-beenden"
"Gegen die mögliche Y-Trassenvariante (Güterverkehr) über die aktuelle Heidebahn-Strecke","https://www.openpetition.de/petition/online/gegen-die-moegliche-y-trassenvariante-gueterverkehr-ueber-die-aktuelle-heidebahn-strecke"
"Ein klares NEIN zum Ponykarussell auf dem hannoverschen Schützenfest / allen Volksfesten","https://www.openpetition.de/petition/online/ein-klares-nein-zum-ponykarussel-auf-dem-hannoverschen-schuetzenfest"
"Abschaffung von Tierversuchen","https://www.openpetition.de/petition/online/abschaffung-von-tierversuchen"
"Misstrauensvotum gegen Frau Bundeskanzlerin Angela Merkel wegen ihrer desaströsen Flüchtlingspolitik","https://www.openpetition.de/petition/online/misstrauensvotum-gegen-frau-bundeskanzlerin-angela-merkel-wegen-ihrer-desastroesen-fluechtlingspolit"
"Umsteigen im Münchner Hauptbahnhof leichter machen – Bau einer zusätzlichen Bahnsteigverbindung","https://www.openpetition.de/petition/online/umsteigen-im-muenchner-hauptbahnhof-leichter-machen-bau-einer-zusaetzlichen-bahnsteigverbindung"
"Kein Zughalt mehr in Oberhof...nicht mit uns","https://www.openpetition.de/petition/online/kein-zughalt-mehr-in-oberhof-nicht-mit-uns"
"DB-Servicestelle im Bahnhof Rüdesheim am Rhein erhalten!","https://www.openpetition.de/petition/online/db-servicestelle-im-bahnhof-ruedesheim-am-rhein-erhalten"
"Anerkennung des E-Sports in Deutschland als Sportart","https://www.openpetition.de/petition/online/anerkennung-des-e-sports-in-deutschland-als-sportart"
"Gleichstellung aller ehrenamtlicher Helfer im Rettungswesen !!!","https://www.openpetition.de/petition/online/gleichstellung-aller-ehrenamtlicher-helfer-im-rettungswesen"
"Langenlonsheim wehrt sich gegen 3000 Flüchtlinge in einer 4000  Einwohner Gemeinde","https://www.openpetition.de/petition/online/langenlonsheim-wehrt-sich-gegen-3000-fluechtlinge-in-einer-4000-einwohner-gemeinde"
"Stoppt Projekt 10 / 17! – Für eine dauerhafte Tunnellösung der Linie 10 nach Ahlem!","https://www.openpetition.de/petition/online/stoppt-projekt-10-17-fuer-eine-dauerhafte-tunnelloesung-der-linie-10-nach-ahlem"
"Peter Brüser - Ehrenbürger der Gemeinde Wenden","https://www.openpetition.de/petition/online/peter-brueser-ehrenbuerger-der-gemeinde-wenden"
"Schutz der Soester Saatkrähen vor sinnlosen Vergrämungsaktionen durch Stadt und einzelne Bürger","https://www.openpetition.de/petition/online/schutz-der-soester-saatkraehen-vor-sinnlosen-vergraemungsaktionen-durch-stadt-und-einzelne-buerger"
"Petition gegen die Abordnungen der Sonderpädadogen an der Gemeinschaftsgrundschule Hebbelstraße","https://www.openpetition.de/petition/online/petition-gegen-die-abordnungen-der-sonderpaedadogen-an-der-gemeinschaftsgrundschule-hebbelstrasse"
"Stadtrat Wilde: Wir möchten bleiben - bitte helfen Sie uns!","https://www.openpetition.de/petition/online/stadtrat-wilde-wir-moechten-bleiben-bitte-helfen-sie-uns"
"fossilfreie Zukunft für Hamm – Bürgeranregung für Klimaschutz und gegen Gasbohren unterstützen","https://www.openpetition.de/petition/online/fossilfreie-zukunft-fuer-hamm-buergeranregung-fuer-klimaschutz-und-gegen-gasbohren-unterstuetzen"
"StandKlimaanlage  in allen Lkws","https://www.openpetition.de/petition/online/standklimaanlage-in-allen-lkws"
"Kein 23-Meter-Bettenturm am Kronberger Bahnhof","https://www.openpetition.de/petition/online/kein-23-meter-bettenturm-am-kronberger-bahnhof"
"Mehr Rechte, faire Gagen und soziale Absicherung darstellender Künstler","https://www.openpetition.de/petition/online/mehr-rechte-und-soziale-absicherung-darstellender-kuenstler"
"„Ring frei“ – sofortige Aufhebung der Benutzungspflicht des Radwegs auf den Kölner Ringen!","https://www.openpetition.de/petition/online/ring-frei-sofortige-aufhebung-der-benutzungspflicht-des-radwegs-auf-den-koelner-ringen"
"Rettung der Alten Post","https://www.openpetition.de/petition/online/rettung-der-alten-post"
"Zurückzahlen! Deutschland muss endlich seine bestehenden Kreditschulden an Griechenland begleichen.","https://www.openpetition.de/petition/online/zuruckzahlen-deutschland-muss-endlich-seine-bestehenden-kreditschulden-an-griechenland-begleichen"
"Wiederaufbau Narrenhäusel am Neustädter Markt in Dresden","https://www.openpetition.de/petition/online/wiederaufbau-narrenhaeusel-am-neustaedter-markt-in-dresden"
"Sofortiger Aufnahmestopp von Flüchtlingen in Deutschland","https://www.openpetition.de/petition/online/sofortiger-aufnahmestopp-von-fluechtlingen-in-deutschland"
"Keinen Gottesbezug in Schleswig-Holstein!","https://www.openpetition.de/petition/online/keinen-gottesbezug-in-schleswig-holstein"
"Die Familie Elezovikj/Mamutovska soll eine Aufenthaltserlaubnis erhalten","https://www.openpetition.de/petition/online/die-familie-elezovikj-mamutovska-soll-eine-aufenthaltserlaubnis-erhalten"
"Zukunft des Universitätssports","https://www.openpetition.de/petition/online/zukunft-vom-unisportzentrum-fitness-und-kraftsport"
"Stand Klimaanlagen im LKW","https://www.openpetition.de/petition/online/stand-klimaanlagen-im-lkw"
"Langfristige Wiederaufnahme des Pfarramtes von Hr. Pfarrer Lindner in der Pfarrgemeinde Dermbach","https://www.openpetition.de/petition/online/wiederaufnahme-des-pfarramtes-von-hr-pfarrer-lindner-in-der-pfarrgemeinde-dermbach"
"DB-Fernverkehrshalt für Naumburg/Saale, Jena, Weimar und Mitteldeutschland","https://www.openpetition.de/petition/online/db-fernverkehrshalt-fuer-naumburg-saale-jena-weimar-und-mitteldeutschland"
"Gartenschwimmbad Bad Neuenahr-Ahrweiler, geschlossen für immer? Ich bin dagegen!","https://www.openpetition.de/petition/online/gartenschwimmbad-bad-neuenahr-ahrweiler-geschlossen-fuer-immer-ich-bin-dagegen"
"Rettet Juni - Ein Herz für Juni!","https://www.openpetition.de/petition/online/rettet-juni"
"Verbannt die Ponykarusselle aus Speyer!","https://www.openpetition.de/petition/online/verbannt-die-ponykarusselle-aus-speyer"
"Wir wollen einen sofortigen BAUSTOPP von MASSENUNTERKÜNFTEN zur Erstaufnahme von Flüchtlingen.","https://www.openpetition.de/petition/online/wir-wollen-einen-sofortigen-baustopp-von-massenunterkunften-zur-erstaufnahme-von-fluchtlingen"
"Kostenfreiheit Schulweg Bayern","https://www.openpetition.de/petition/online/kostenfreiheit-schulweg-bayern"
"Dem Sachgebietsleiter der Ausländerbehörde Sömmerda umgehend kündigen!","https://www.openpetition.de/petition/online/dem-sachgebietsleiter-der-auslaenderbehoerde-soemmerda-unwiderruflich-kuendigen"
"Sofortige Einstellung der Straßenneuplanung für eine B27 rund um Eglosheim, H4B4 genannt","https://www.openpetition.de/petition/online/sofortige-einstellung-der-strassenneuplanung-fuer-eine-b27-rund-um-eglosheim-h4b4-genannt"
